LOANAMOUNT,SEX,AGE,HOUSE,CREDITCARD,JOB,DEPENDENT,TELEPHONE,FOREIGNER,RISK
1889,female,32,own,1,skilled,1,none,yes,No Risk
462,female,37,own,2,skilled,1,none,yes,No Risk
250,male,28,own,2,skilled,1,yes,no,No Risk
3693,male,32,own,1,skilled,1,none,yes,No Risk
6235,male,57,own,2,skilled,1,none,yes,Risk
9604,male,57,free,2,skilled,2,yes,yes,Risk
3109,female,36,own,2,skilled,1,none,yes,No Risk
7138,male,49,free,2,skilled,2,yes,yes,Risk
4302,male,34,free,1,skilled,1,none,yes,No Risk
3310,male,40,free,1,skilled,1,yes,yes,No Risk
3705,female,44,own,1,skilled,1,none,yes,No Risk
2407,female,52,own,1,skilled,2,yes,yes,No Risk
3810,female,35,own,1,skilled,1,none,yes,Risk
250,female,26,own,1,skilled,1,none,yes,No Risk
7150,male,52,own,2,skilled,1,yes,yes,Risk
250,female,28,own,1,skilled,1,none,yes,No Risk
2317,female,27,own,2,skilled,1,none,yes,No Risk
250,male,24,own,2,skilled,2,yes,yes,No Risk
6063,male,40,own,2,skilled,1,none,yes,No Risk
1045,female,24,rent,1,skilled,1,none,yes,No Risk
250,female,19,rent,1,skilled,1,none,yes,No Risk
3946,female,33,own,1,unskilled,1,none,yes,No Risk
250,male,19,rent,1,skilled,1,none,yes,No Risk
292,female,51,rent,1,skilled,1,none,yes,No Risk
4312,female,38,own,1,skilled,2,yes,yes,No Risk
2827,male,31,own,1,skilled,1,none,yes,No Risk
4391,female,39,own,2,unskilled,2,yes,yes,Risk
319,male,32,rent,1,skilled,1,none,yes,Risk
3519,male,39,own,1,skilled,1,yes,yes,No Risk
250,female,31,own,1,skilled,1,none,yes,No Risk
1420,male,35,rent,1,skilled,1,none,yes,No Risk
1683,male,35,own,1,skilled,1,yes,yes,No Risk
4904,male,40,own,1,skilled,2,yes,yes,Risk
3789,male,29,own,2,skilled,1,none,yes,Risk
9918,male,49,free,2,skilled,2,yes,yes,Risk
3115,female,27,own,1,skilled,1,none,yes,Risk
1400,female,28,own,1,skilled,1,none,yes,No Risk
250,male,22,rent,1,skilled,1,none,yes,No Risk
7685,male,51,free,2,skilled,1,yes,yes,Risk
250,female,19,own,1,skilled,1,none,yes,No Risk
3818,male,36,rent,2,skilled,1,none,yes,Risk
1897,male,19,rent,1,skilled,1,none,yes,No Risk
4131,male,29,own,1,unskilled,1,yes,yes,No Risk
3541,male,45,own,1,skilled,1,yes,yes,Risk
3861,male,25,own,1,skilled,1,none,yes,No Risk
6086,female,44,rent,2,unskilled,2,yes,yes,Risk
6402,female,52,free,2,skilled,1,yes,yes,No Risk
5990,male,55,free,2,skilled,2,yes,yes,Risk
3376,female,32,own,1,skilled,1,none,yes,No Risk
6434,female,39,own,2,skilled,2,yes,yes,Risk
2442,female,42,own,1,skilled,1,none,yes,No Risk
2963,female,46,own,2,skilled,1,none,yes,Risk
2673,male,35,rent,1,skilled,2,none,yes,Risk
6971,male,54,own,2,skilled,1,yes,yes,Risk
1525,male,33,own,1,skilled,1,none,yes,No Risk
4037,male,31,rent,1,skilled,1,none,yes,Risk
1152,female,20,own,1,skilled,1,none,yes,No Risk
1880,female,41,own,1,skilled,1,none,yes,No Risk
5685,female,37,own,2,skilled,1,yes,yes,Risk
4990,male,50,own,2,unemployed,2,yes,yes,Risk
1017,female,30,own,1,skilled,1,none,yes,No Risk
3618,male,31,own,2,unskilled,1,none,yes,No Risk
3037,female,31,own,1,skilled,1,none,yes,No Risk
1440,female,39,own,1,unskilled,1,yes,yes,No Risk
4032,female,36,rent,1,skilled,1,none,yes,No Risk
5927,male,47,own,2,skilled,1,none,yes,Risk
4694,female,37,own,1,skilled,2,yes,yes,Risk
10584,male,46,own,2,unskilled,2,yes,yes,No Risk
8900,male,26,free,2,skilled,1,yes,yes,Risk
1144,female,33,rent,1,skilled,1,none,yes,No Risk
3387,female,28,own,1,skilled,1,none,yes,No Risk
1269,male,39,own,1,skilled,1,none,yes,No Risk
9570,male,53,free,2,skilled,1,yes,yes,No Risk
1428,male,20,rent,1,unemployed,1,yes,yes,No Risk
4620,male,40,own,2,skilled,1,yes,yes,No Risk
2196,male,27,own,1,skilled,1,none,yes,No Risk
10550,male,48,own,2,unemployed,2,yes,yes,Risk
2436,female,19,own,1,skilled,1,none,yes,No Risk
4136,male,46,own,1,unemployed,1,yes,yes,No Risk
4014,male,33,own,1,skilled,1,yes,yes,Risk
5440,female,40,own,2,skilled,1,yes,yes,Risk
